epoch,followers,following,media
1548298802.0870934,761,169,5
1548299401.7826178,761,169,5
1548300001.8165777,761,169,5
1548300601.8579254,761,169,5
1548301202.2029557,761,169,5
1548301802.2400985,761,169,5
1548302402.289817,761,169,5
1548303001.924893,761,169,5
1548303601.9764748,761,169,5
1548304201.9992287,761,169,5
1548304801.659162,761,169,5
1548305401.6617913,761,169,5
1548306001.7218227,761,169,5
1548306602.3569465,761,169,5
1548307202.3992085,761,169,5
1548307802.265828,761,169,5
1548308401.5983963,761,169,5
1548309001.6716585,761,169,5
1548309601.6540363,761,169,5
1548310202.3479655,761,169,5
1548310802.4122798,761,169,5
1548311402.4376361,761,169,5
1548312001.750331,761,169,5
1548312601.786316,761,169,5
1548313201.8348525,761,169,5
1548313802.511596,761,169,5
1548314402.566716,761,169,5
1548315001.5818083,761,169,5
1548315602.2301936,761,169,5
1548316202.2651966,762,169,5
1548316802.3179162,762,169,5
1548317401.954595,763,169,5
1548318001.9911675,763,169,5
1548318602.0316777,763,169,5
1548319201.693294,763,169,5
1548319801.7206945,763,169,5
1548320401.7419436,763,169,5
1548321002.392902,763,169,5
1548321602.4675891,763,169,5
1548322202.46317,762,169,5
1548322801.815157,762,169,5
1548323401.859531,762,169,5
1548324001.884133,762,169,5
1548324602.534612,762,169,5
1548325201.5782216,762,169,5
1548325801.6016753,762,169,5
1548326402.2679408,762,169,5
1548327002.2822492,762,169,5
1548327602.3302438,762,169,5
1548328201.9696956,762,169,5
1548328802.0261345,762,169,5
1548329402.0508032,762,169,5
1548330002.3825116,762,169,5
1548330602.430637,762,169,5
1548331202.4445753,762,169,5
1548331802.0896401,761,169,5
1548332402.1706738,761,169,5
1548333002.1908553,761,169,5
1548333601.8707101,761,169,5
1548334201.8934782,761,169,5
1548334801.9102318,761,169,5
1548335402.2417383,761,169,5
1548336002.2944405,761,169,5
1548336602.3522868,762,169,5
1548337201.6503725,762,169,5
1548337801.6887603,762,169,5
1548338401.7017498,762,169,5
1548339002.3656354,762,169,5
1548339602.4173028,762,169,5
1548340202.491884,762,169,5
1548340802.1181753,762,169,5
1548341402.1435182,762,169,5
1548342002.2033396,762,169,5
