epoch,followers,following,media
1548298802.0870934,2339,339,236
1548299401.7826178,2339,339,236
1548300001.8165777,2339,339,236
1548300601.8579254,2339,339,236
1548301202.2029557,2339,338,236
1548301802.2400985,2340,338,236
1548302402.289817,2340,338,236
1548303001.924893,2341,338,236
1548303601.9764748,2341,338,236
1548304201.9992287,2341,338,236
1548304801.659162,2341,338,236
1548305401.6617913,2341,338,236
1548306001.7218227,2341,338,236
1548306602.3569465,2340,338,236
1548307202.3992085,2341,338,236
1548307802.265828,2341,338,236
1548308401.5983963,2341,338,236
1548309001.6716585,2341,338,236
1548309601.6540363,2341,338,236
1548310202.3479655,2341,338,236
1548310802.4122798,2340,338,236
1548311402.4376361,2340,338,236
1548312001.750331,2340,338,236
1548312601.786316,2340,338,236
1548313201.8348525,2340,338,236
1548313802.511596,2340,338,236
1548314402.566716,2340,338,236
1548315001.5818083,2340,338,236
1548315602.2301936,2340,338,236
1548316202.2651966,2340,338,236
1548316802.3179162,2340,338,236
1548317401.954595,2340,338,236
1548318001.9911675,2341,338,236
1548318602.0316777,2341,338,236
1548319201.693294,2341,338,236
1548319801.7206945,2341,338,236
1548320401.7419436,2341,338,236
1548321002.392902,2341,338,236
1548321602.4675891,2341,338,236
1548322202.46317,2341,338,236
1548322801.815157,2341,338,236
1548323401.859531,2341,338,236
1548324001.884133,2341,338,236
1548324602.534612,2341,338,236
1548325201.5782216,2341,338,236
1548325801.6016753,2340,338,236
1548326402.2679408,2340,338,236
1548327002.2822492,2340,338,236
1548327602.3302438,2340,338,236
1548328201.9696956,2340,338,236
1548328802.0261345,2340,338,236
1548329402.0508032,2339,338,236
1548330002.3825116,2339,338,236
1548330602.430637,2339,338,236
1548331202.4445753,2339,338,236
1548331802.0896401,2339,338,236
1548332402.1706738,2339,338,236
1548333002.1908553,2339,338,236
1548333601.8707101,2339,338,236
1548334201.8934782,2338,338,236
1548334801.9102318,2338,338,236
1548335402.2417383,2338,338,236
1548336002.2944405,2338,338,236
1548336602.3522868,2338,338,236
1548337201.6503725,2338,338,236
1548337801.6887603,2339,338,236
1548338401.7017498,2339,338,236
1548339002.3656354,2339,338,236
1548339602.4173028,2338,338,236
1548340202.491884,2339,338,236
1548340802.1181753,2339,338,236
1548341402.1435182,2338,338,236
1548342002.2033396,2338,338,236
1548342602.5349479,2338,338,236
1548343201.5846477,2338,338,236
